seed,method,tau_low,tau_high,theta,scorer,conformal_target_recall,coreset_budget,safety_recall,storage_savings_pct,duplicate_pairs,samples_removed,n_test,level0_count,level1_count,level2_count,level3_count
42,path_b,0.1,0.5,0.85,bnn_mean,0.99,off,0.9894259818731118,24.327784891165173,167847,1140,4686,3544,3242,98,133
42,path_b,0.1,0.5,0.85,bnn_variance,0.9,off,0.879154078549849,22.385830132309007,167847,1049,4686,3636,3242,98,133
42,path_b,0.1,0.5,0.85,bnn_variance,0.95,off,0.9305135951661632,17.26419120785318,167847,809,4686,3876,3242,98,133
42,path_b,0.1,0.5,0.85,bnn_variance,0.99,off,0.9803625377643505,11.37430644472898,167847,533,4686,4152,3242,98,133
42,path_b,0.1,0.5,0.85,bnn_combined,0.9,off,0.9003021148036254,48.07938540332907,167847,2253,4686,2179,3242,98,133
42,path_b,0.1,0.5,0.85,bnn_combined,0.95,off,0.9380664652567976,40.80239009816475,167847,1912,4686,2698,3242,98,133
42,path_b,0.1,0.5,0.85,bnn_combined,0.99,off,0.9901812688821753,22.89799402475459,167847,1073,4686,3611,3242,98,133
42,path_b,0.1,0.5,0.85,isolation_forest,0.9,off,0.9146525679758308,24.434485702091337,167847,1145,4686,3319,3242,98,133
42,path_b,0.1,0.5,0.85,isolation_forest,0.95,off,0.9531722054380665,14.874093043107129,167847,697,4686,3891,3242,98,133
42,path_b,0.1,0.5,0.85,isolation_forest,0.99,off,0.9871601208459214,5.740503627827572,167847,269,4686,4395,3242,98,133
42,path_b,0.1,0.5,0.85,autoencoder,0.9,off,0.9667673716012085,10.478019632949211,167847,491,4686,4012,3242,98,133
42,path_b,0.1,0.5,0.85,autoencoder,0.95,off,0.9811178247734139,6.850192061459667,167847,321,4686,4262,3242,98,133
42,path_b,0.1,0.5,0.85,autoencoder,0.99,off,0.9962235649546828,1.9419547588561674,167847,91,4686,4571,3242,98,133
42,path_b,0.1,0.5,0.85,ecod,0.9,off,0.9645015105740181,15.172855313700385,167847,711,4686,3741,3242,98,133
42,path_b,0.1,0.5,0.85,ecod,0.95,off,0.9833836858006042,7.639778062313274,167847,358,4686,4205,3242,98,133
42,path_b,0.1,0.5,0.85,ecod,0.99,off,0.9969788519637462,1.6645326504481435,167847,78,4686,4581,3242,98,133
42,path_b,0.15,0.15,0.85,off,off,off,0.3632930513595166,79.47076397780623,192419,3724,4686,0,3726,854,133
42,path_b,0.15,0.15,0.85,bnn_mean,0.9,off,0.8904833836858006,53.371745625266755,192419,2501,4686,2014,3726,854,133
42,path_b,0.15,0.15,0.85,bnn_mean,0.95,off,0.9335347432024169,42.63764404609475,192419,1998,4686,2642,3726,854,133
42,path_b,0.15,0.15,0.85,bnn_mean,0.99,off,0.9894259818731118,24.349125053350406,192419,1141,4686,3544,3726,854,133
42,path_b,0.15,0.15,0.85,bnn_variance,0.9,off,0.879154078549849,22.385830132309007,192419,1049,4686,3636,3726,854,133
42,path_b,0.15,0.15,0.85,bnn_variance,0.95,off,0.9305135951661632,17.26419120785318,192419,809,4686,3876,3726,854,133
42,path_b,0.15,0.15,0.85,bnn_variance,0.99,off,0.9803625377643505,11.37430644472898,192419,533,4686,4152,3726,854,133
42,path_b,0.15,0.15,0.85,bnn_combined,0.9,off,0.8882175226586103,52.00597524541186,192419,2437,4686,2179,3726,854,133
42,path_b,0.15,0.15,0.85,bnn_combined,0.95,off,0.9342900302114804,41.97609901835254,192419,1967,4686,2698,3726,854,133
42,path_b,0.15,0.15,0.85,bnn_combined,0.99,off,0.9901812688821753,22.91933418693982,192419,1074,4686,3611,3726,854,133
42,path_b,0.15,0.15,0.85,isolation_forest,0.9,off,0.9033232628398792,26.76056338028169,192419,1254,4686,3319,3726,854,133
42,path_b,0.15,0.15,0.85,isolation_forest,0.95,off,0.9509063444108762,15.983781476739223,192419,749,4686,3891,3726,854,133
